coarse_burst_high: Min = 3267.7, Max = 3688.2999999999993, Average = 3461.04
coarse_burst_med: Min = 3181.5, Max = 3460.1, Average = 3259.17
coarse_burst_low: Min = 3161.6000000000004, Max = 3279.8, Average = 3208.9999999999995
coarse_even_high: Min = 3328.1000000000004, Max = 3406.999999999999, Average = 3354.1399999999994
coarse_even_med: Min = 3204.9999999999995, Max = 3305.7, Average = 3269.08
coarse_even_low: Min = 3251.1000000000004, Max = 3287.7000000000003, Average = 3267.9
med_burst_high: Min = 3333.4999999999995, Max = 3959.4000000000005, Average = 3499.75
med_burst_med: Min = 3248.1, Max = 3309.7, Average = 3280.15
med_burst_low: Min = 3195.7999999999997, Max = 3297.3000000000006, Average = 3228.7700000000004
med_even_high: Min = 3332.6, Max = 3426.2, Average = 3374.69
med_even_med: Min = 3275.2999999999997, Max = 3354.4, Average = 3312.84
med_even_low: Min = 3251.3999999999996, Max = 3315.7999999999993, Average = 3277.1699999999996
fine_burst_high: Min = 3467.2, Max = 4157.799999999999, Average = 3682.96
fine_burst_med: Min = 3278.8999999999996, Max = 3422.5000000000005, Average = 3333.0299999999997
fine_burst_low: Min = 3215.9000000000005, Max = 3281.5999999999995, Average = 3247.46
fine_even_high: Min = 3458.1000000000004, Max = 4663.3, Average = 3646.95
fine_even_med: Min = 3359.1000000000004, Max = 3576.0999999999995, Average = 3402.4799999999996
fine_even_low: Min = 3314.3999999999996, Max = 3396.8, Average = 3364.9499999999994
coarse_burst_high: Min = 3524.3000000000006, Max = 3956.7999999999993, Average = 3683.5600000000004
coarse_burst_med: Min = 3338.0999999999995, Max = 3412.6, Average = 3382.5
coarse_burst_low: Min = 3307.2999999999997, Max = 3399.0000000000005, Average = 3346.2299999999996
coarse_even_high: Min = 3681.2, Max = 3928.0, Average = 3761.65
coarse_even_med: Min = 3332.7, Max = 3424.2000000000003, Average = 3387.2699999999995
coarse_even_low: Min = 3302.999999999999, Max = 3403.000000000001, Average = 3342.9900000000002
med_burst_high: Min = 3774.7000000000003, Max = 4208.3, Average = 3937.53
med_burst_med: Min = 3467.9999999999995, Max = 3578.2, Average = 3529.6099999999997
med_burst_low: Min = 3449.2000000000007, Max = 3539.1000000000004, Average = 3495.8200000000006
med_even_high: Min = 3752.9999999999995, Max = 4178.400000000001, Average = 3889.62
med_even_med: Min = 3464.5, Max = 3569.2000000000007, Average = 3522.1099999999997
med_even_low: Min = 3403.0999999999995, Max = 3535.2000000000003, Average = 3462.3799999999997
fine_burst_high: Min = 3640.2999999999997, Max = 4318.200000000001, Average = 4151.79
fine_burst_med: Min = 3639.3999999999996, Max = 3873.899999999999, Average = 3730.5899999999992
fine_burst_low: Min = 3655.2999999999997, Max = 3804.9000000000005, Average = 3698.4900000000007
fine_even_high: Min = 3904.9, Max = 4229.200000000001, Average = 4031.9199999999996
fine_even_med: Min = 3616.5, Max = 3750.2, Average = 3702.5
fine_even_low: Min = 3567.2999999999993, Max = 3729.6000000000004, Average = 3656.3600000000006
