Experiment_ID,Average_Latency,Granularity,Request_Amount,Distribution,Iteration
coarse_high_burst_1,9.595562522499998,coarse_1,high,burst,1
coarse_high_burst_10,14.775895887049048,coarse_1,high,burst,10
coarse_high_burst_2,10.331660393624999,coarse_1,high,burst,2
coarse_high_burst_3,8.426679310374999,coarse_1,high,burst,3
coarse_high_burst_4,9.4366812485,coarse_1,high,burst,4
coarse_high_burst_5,10.070100694625001,coarse_1,high,burst,5
coarse_high_burst_6,10.073205575125002,coarse_1,high,burst,6
coarse_high_burst_7,10.310795540999997,coarse_1,high,burst,7
coarse_high_burst_8,8.412482113874997,coarse_1,high,burst,8
coarse_high_burst_9,10.110591608374998,coarse_1,high,burst,9
coarse_high_even_1,19.17776968874998,coarse_1,high,even,1
coarse_high_even_10,20.18090038525002,coarse_1,high,even,10
coarse_high_even_2,18.015629801250018,coarse_1,high,even,2
coarse_high_even_3,18.403473579874966,coarse_1,high,even,3
coarse_high_even_4,18.57282366412502,coarse_1,high,even,4
coarse_high_even_5,18.70582969087501,coarse_1,high,even,5
coarse_high_even_6,18.461408499249988,coarse_1,high,even,6
coarse_high_even_7,19.07375904024997,coarse_1,high,even,7
coarse_high_even_8,18.696184324124992,coarse_1,high,even,8
coarse_high_even_9,17.85543128875001,coarse_1,high,even,9
coarse_low_burst_1,17.430011425000032,coarse_1,low,burst,1
coarse_low_burst_10,16.4385969375,coarse_1,low,burst,10
coarse_low_burst_2,18.025161475000047,coarse_1,low,burst,2
coarse_low_burst_3,16.518377612500004,coarse_1,low,burst,3
coarse_low_burst_4,17.712793700000027,coarse_1,low,burst,4
coarse_low_burst_5,16.50475621249998,coarse_1,low,burst,5
coarse_low_burst_6,26.032382300000002,coarse_1,low,burst,6
coarse_low_burst_7,17.723017112499985,coarse_1,low,burst,7
coarse_low_burst_8,21.718125037500002,coarse_1,low,burst,8
coarse_low_burst_9,15.910301024999999,coarse_1,low,burst,9
coarse_low_even_1,18.16621469999967,coarse_1,low,even,1
coarse_low_even_10,17.297495799999872,coarse_1,low,even,10
coarse_low_even_2,20.233098900000147,coarse_1,low,even,2
