Experiment_ID,Average_Latency,Granularity,Distribution,Request_Amount,Iteration
coarse_burst_high_1,8.5246350125,coarse,burst,high,1
coarse_burst_high_10,8.647797540625001,coarse,burst,high,10
coarse_burst_high_2,8.682745509375,coarse,burst,high,2
coarse_burst_high_3,9.678013020875003,coarse,burst,high,3
coarse_burst_high_4,9.052067067249995,coarse,burst,high,4
coarse_burst_high_5,8.744753434875,coarse,burst,high,5
coarse_burst_high_6,9.858962818125,coarse,burst,high,6
coarse_burst_high_7,9.257521227499996,coarse,burst,high,7
coarse_burst_high_8,8.855890119375001,coarse,burst,high,8
coarse_burst_high_9,10.529321276249998,coarse,burst,high,9
coarse_burst_low_1,15.572486499999997,coarse,burst,low,1
coarse_burst_low_10,18.53969422500001,coarse,burst,low,10
coarse_burst_low_2,17.8864073,coarse,burst,low,2
coarse_burst_low_3,17.011961474999993,coarse,burst,low,3
coarse_burst_low_4,15.170015612500013,coarse,burst,low,4
coarse_burst_low_5,17.052039049999998,coarse,burst,low,5
coarse_burst_low_6,18.555844249999996,coarse,burst,low,6
coarse_burst_low_7,20.156801587500006,coarse,burst,low,7
coarse_burst_low_8,15.920591637499987,coarse,burst,low,8
coarse_burst_low_9,15.102019762499998,coarse,burst,low,9
coarse_burst_med_1,9.682261657499998,coarse,burst,med,1
coarse_burst_med_10,9.905984018749995,coarse,burst,med,10
coarse_burst_med_2,10.498856086249997,coarse,burst,med,2
coarse_burst_med_3,9.521503178750006,coarse,burst,med,3
coarse_burst_med_4,9.724121253749999,coarse,burst,med,4
coarse_burst_med_5,10.634824436250002,coarse,burst,med,5
coarse_burst_med_6,9.790748535,coarse,burst,med,6
coarse_burst_med_7,10.02467854875,coarse,burst,med,7
coarse_burst_med_8,9.36769828,coarse,burst,med,8
coarse_burst_med_9,9.70134757875,coarse,burst,med,9
coarse_even_high_1,9.203370701125014,coarse,even,high,1
coarse_even_high_10,8.160674339375,coarse,even,high,10
coarse_even_high_2,8.310904066875004,coarse,even,high,2
coarse_even_high_3,8.401962798874997,coarse,even,high,3
coarse_even_high_4,8.455741949625,coarse,even,high,4
coarse_even_high_5,8.351533015875004,coarse,even,high,5
coarse_even_high_6,8.111026275625001,coarse,even,high,6
coarse_even_high_7,8.333073786750004,coarse,even,high,7
coarse_even_high_8,7.811703532625,coarse,even,high,8
coarse_even_high_9,8.218155459875002,coarse,even,high,9
coarse_even_low_1,18.52516813749981,coarse,even,low,1
coarse_even_low_10,18.32812916250008,coarse,even,low,10
coarse_even_low_2,16.716093687500013,coarse,even,low,2
coarse_even_low_3,16.196683362499822,coarse,even,low,3
coarse_even_low_4,18.186426612499993,coarse,even,low,4
coarse_even_low_5,16.604052087499845,coarse,even,low,5
