id,granularity,distribution,frequency,energy consumption
1,coarse,burst,high,3688.2999999999993
2,coarse,burst,high,3573.6000000000004
3,coarse,burst,high,3483.8000000000006
4,coarse,burst,high,3472.8999999999996
5,coarse,burst,high,3464.2000000000003
6,coarse,burst,high,3509.7
7,coarse,burst,high,3447.000000000001
8,coarse,burst,high,3372.9999999999995
9,coarse,burst,high,3330.2
10,coarse,burst,high,3267.7
1,coarse,burst,high,3181.5
2,coarse,burst,high,3186.7000000000007
3,coarse,burst,high,3196.9000000000005
4,coarse,burst,high,3248.9000000000005
5,coarse,burst,high,3228.8000000000006
6,coarse,burst,high,3206.5999999999995
7,coarse,burst,high,3214.9999999999995
8,coarse,burst,high,3323.9000000000005
9,coarse,burst,high,3343.3
10,coarse,burst,high,3460.1
1,coarse,burst,high,3210.5
2,coarse,burst,high,3200.6000000000004
3,coarse,burst,high,3181.5
4,coarse,burst,high,3168.7
5,coarse,burst,high,3161.6000000000004
6,coarse,burst,high,3200.7999999999997
7,coarse,burst,high,3249.699999999999
8,coarse,burst,high,3279.8
9,coarse,burst,high,3224.0000000000005
10,coarse,burst,high,3212.7999999999997
1,coarse,burst,high,3372.5
2,coarse,burst,high,3328.1000000000004
3,coarse,burst,high,3337.2
4,coarse,burst,high,3330.3
5,coarse,burst,high,3345.7999999999997
6,coarse,burst,high,3344.6
7,coarse,burst,high,3338.7
8,coarse,burst,high,3406.999999999999
9,coarse,burst,high,3380.0
10,coarse,burst,high,3357.2000000000003
1,coarse,burst,high,3204.9999999999995
2,coarse,burst,high,3228.7
3,coarse,burst,high,3274.0
4,coarse,burst,high,3280.3999999999996
5,coarse,burst,high,3275.0
6,coarse,burst,high,3288.3999999999996
7,coarse,burst,high,3277.7
8,coarse,burst,high,3263.4000000000005
9,coarse,burst,high,3292.5
10,coarse,burst,high,3305.7
1,coarse,burst,high,3251.1000000000004
2,coarse,burst,high,3259.3999999999996
3,coarse,burst,high,3265.6000000000004
4,coarse,burst,high,3287.7000000000003
5,coarse,burst,high,3265.7000000000007
6,coarse,burst,high,3278.6000000000004
7,coarse,burst,high,3268.899999999999
8,coarse,burst,high,3279.6
9,coarse,burst,high,3262.3999999999996
10,coarse,burst,high,3260.0
1,med,burst,high,3959.4000000000005
2,med,burst,high,3635.2999999999997
3,med,burst,high,3494.9
4,med,burst,high,3528.8
5,med,burst,high,3474.8000000000006
6,med,burst,high,3412.3
7,med,burst,high,3420.1000000000013
8,med,burst,high,3333.4999999999995
9,med,burst,high,3402.2000000000007
10,med,burst,high,3336.2
1,med,burst,high,3303.1
2,med,burst,high,3275.1
3,med,burst,high,3292.5
4,med,burst,high,3309.7
5,med,burst,high,3249.2000000000003
6,med,burst,high,3282.8999999999996
7,med,burst,high,3248.1
8,med,burst,high,3281.7000000000003
9,med,burst,high,3297.3000000000006
10,med,burst,high,3261.9
1,med,burst,high,3204.4
2,med,burst,high,3195.7999999999997
3,med,burst,high,3217.9
4,med,burst,high,3210.6
5,med,burst,high,3297.3000000000006
6,med,burst,high,3246.399999999999
7,med,burst,high,3248.7
8,med,burst,high,3222.5999999999995
9,med,burst,high,3212.9
10,med,burst,high,3231.1000000000004
1,med,burst,high,3399.2999999999993
2,med,burst,high,3402.4
3,med,burst,high,3399.7
4,med,burst,high,3426.2
5,med,burst,high,3360.6000000000004
6,med,burst,high,3332.6
7,med,burst,high,3366.1000000000004
8,med,burst,high,3351.5000000000005
9,med,burst,high,3353.6999999999994
10,med,burst,high,3354.8
1,med,burst,high,3338.7999999999993
2,med,burst,high,3350.1
