filename,granularity,distribution,frequency,energy_consumption,id_number
locustfile_burst_high_0.01_400_40_10s_1_requests.csv,coarse,burst,high,3688.2999999999993,1
locustfile_burst_high_0.01_400_40_10s_2_requests.csv,coarse,burst,high,3573.6000000000004,2
locustfile_burst_high_0.01_400_40_10s_3_requests.csv,coarse,burst,high,3483.8000000000006,3
locustfile_burst_high_0.01_400_40_10s_4_requests.csv,coarse,burst,high,3472.8999999999996,4
locustfile_burst_high_0.01_400_40_10s_5_requests.csv,coarse,burst,high,3464.2000000000003,5
locustfile_burst_high_0.01_400_40_10s_6_requests.csv,coarse,burst,high,3509.7,6
locustfile_burst_high_0.01_400_40_10s_7_requests.csv,coarse,burst,high,3447.000000000001,7
locustfile_burst_high_0.01_400_40_10s_8_requests.csv,coarse,burst,high,3372.9999999999995,8
locustfile_burst_high_0.01_400_40_10s_9_requests.csv,coarse,burst,high,3330.2,9
locustfile_burst_high_0.01_400_40_10s_10_requests.csv,coarse,burst,high,3267.7,10
locustfile_burst_high_0.1_400_40_10s_1_requests.csv,coarse,burst,med,3181.5,1
locustfile_burst_high_0.1_400_40_10s_2_requests.csv,coarse,burst,med,3186.7000000000007,2
locustfile_burst_high_0.1_400_40_10s_3_requests.csv,coarse,burst,med,3196.9000000000005,3
locustfile_burst_high_0.1_400_40_10s_4_requests.csv,coarse,burst,med,3248.9000000000005,4
locustfile_burst_high_0.1_400_40_10s_5_requests.csv,coarse,burst,med,3228.8000000000006,5
locustfile_burst_high_0.1_400_40_10s_6_requests.csv,coarse,burst,med,3206.5999999999995,6
locustfile_burst_high_0.1_400_40_10s_7_requests.csv,coarse,burst,med,3214.9999999999995,7
locustfile_burst_high_0.1_400_40_10s_8_requests.csv,coarse,burst,med,3323.9000000000005,8
locustfile_burst_high_0.1_400_40_10s_9_requests.csv,coarse,burst,med,3343.3,9
locustfile_burst_high_0.1_400_40_10s_10_requests.csv,coarse,burst,med,3460.1,10
locustfile_burst_high_1_400_40_10s_1_requests.csv,coarse,burst,low,3210.5,1
locustfile_burst_high_1_400_40_10s_2_requests.csv,coarse,burst,low,3200.6000000000004,2
locustfile_burst_high_1_400_40_10s_3_requests.csv,coarse,burst,low,3181.5,3
locustfile_burst_high_1_400_40_10s_4_requests.csv,coarse,burst,low,3168.7,4
locustfile_burst_high_1_400_40_10s_5_requests.csv,coarse,burst,low,3161.6000000000004,5
locustfile_burst_high_1_400_40_10s_6_requests.csv,coarse,burst,low,3200.7999999999997,6
locustfile_burst_high_1_400_40_10s_7_requests.csv,coarse,burst,low,3249.699999999999,7
locustfile_burst_high_1_400_40_10s_8_requests.csv,coarse,burst,low,3279.8,8
locustfile_burst_high_1_400_40_10s_9_requests.csv,coarse,burst,low,3224.0000000000005,9
locustfile_burst_high_1_400_40_10s_10_requests.csv,coarse,burst,low,3212.7999999999997,10
locustfile_even_high_0.2_400_40_120s_1_requests.csv,coarse,even,high,3372.5,1
locustfile_even_high_0.2_400_40_120s_2_requests.csv,coarse,even,high,3328.1000000000004,2
locustfile_even_high_0.2_400_40_120s_3_requests.csv,coarse,even,high,3337.2,3
locustfile_even_high_0.2_400_40_120s_4_requests.csv,coarse,even,high,3330.3,4
locustfile_even_high_0.2_400_40_120s_5_requests.csv,coarse,even,high,3345.7999999999997,5
locustfile_even_high_0.2_400_40_120s_6_requests.csv,coarse,even,high,3344.6,6
