filename,granularity,distribution,frequency,energy_consumption,id_number
locustfile_burst_high_0.01_80_40_10s_1_requests.csv,coarse,burst,high,395.67999999999995,1
locustfile_burst_high_0.01_80_40_10s_2_requests.csv,coarse,burst,high,390.7,2
locustfile_burst_high_0.01_80_40_10s_3_requests.csv,coarse,burst,high,371.4200000000001,3
locustfile_burst_high_0.01_80_40_10s_4_requests.csv,coarse,burst,high,363.28999999999996,4
locustfile_burst_high_0.01_80_40_10s_5_requests.csv,coarse,burst,high,376.11,5
locustfile_burst_high_0.01_80_40_10s_6_requests.csv,coarse,burst,high,362.73,6
locustfile_burst_high_0.01_80_40_10s_7_requests.csv,coarse,burst,high,361.3299999999999,7
locustfile_burst_high_0.01_80_40_10s_8_requests.csv,coarse,burst,high,354.2800000000001,8
locustfile_burst_high_0.01_80_40_10s_9_requests.csv,coarse,burst,high,355.5899999999999,9
locustfile_burst_high_0.01_80_40_10s_10_requests.csv,coarse,burst,high,352.43000000000006,10
locustfile_burst_med_0.4_80_40_10s_1_requests.csv,coarse,burst,med,339.44999999999993,1
locustfile_burst_med_0.4_80_40_10s_2_requests.csv,coarse,burst,med,337.43000000000006,2
locustfile_burst_med_0.4_80_40_10s_3_requests.csv,coarse,burst,med,337.93999999999994,3
locustfile_burst_med_0.4_80_40_10s_4_requests.csv,coarse,burst,med,336.9200000000001,4
locustfile_burst_med_0.4_80_40_10s_5_requests.csv,coarse,burst,med,338.44,5
locustfile_burst_med_0.4_80_40_10s_6_requests.csv,coarse,burst,med,336.96,6
locustfile_burst_med_0.4_80_40_10s_7_requests.csv,coarse,burst,med,339.91999999999996,7
locustfile_burst_med_0.4_80_40_10s_8_requests.csv,coarse,burst,med,333.80999999999995,8
locustfile_burst_med_0.4_80_40_10s_9_requests.csv,coarse,burst,med,340.36999999999995,9
locustfile_burst_med_0.4_80_40_10s_10_requests.csv,coarse,burst,med,341.26,10
locustfile_burst_low_5_80_40_10s_1_requests.csv,coarse,burst,low,335.53999999999996,1
locustfile_burst_low_5_80_40_10s_2_requests.csv,coarse,burst,low,339.90000000000003,2
locustfile_burst_low_5_80_40_10s_3_requests.csv,coarse,burst,low,336.81,3
locustfile_burst_low_5_80_40_10s_4_requests.csv,coarse,burst,low,335.86999999999995,4
locustfile_burst_low_5_80_40_10s_5_requests.csv,coarse,burst,low,331.64,5
locustfile_burst_low_5_80_40_10s_6_requests.csv,coarse,burst,low,333.63999999999993,6
locustfile_burst_low_5_80_40_10s_7_requests.csv,coarse,burst,low,337.5,7
locustfile_burst_low_5_80_40_10s_8_requests.csv,coarse,burst,low,333.2800000000001,8
locustfile_burst_low_5_80_40_10s_9_requests.csv,coarse,burst,low,330.72999999999996,9
locustfile_burst_low_5_80_40_10s_10_requests.csv,coarse,burst,low,331.32,10
locustfile_even_high_0.5_80_40_120s_1_requests.csv,coarse,even,high,374.7800000000001,1
locustfile_even_high_0.5_80_40_120s_2_requests.csv,coarse,even,high,392.8,2
locustfile_even_high_0.5_80_40_120s_3_requests.csv,coarse,even,high,383.61999999999995,3
locustfile_even_high_0.5_80_40_120s_4_requests.csv,coarse,even,high,377.61999999999995,4
locustfile_even_high_0.5_80_40_120s_5_requests.csv,coarse,even,high,376.64,5
locustfile_even_high_0.5_80_40_120s_6_requests.csv,coarse,even,high,373.48999999999995,6
locustfile_even_high_0.5_80_40_120s_7_requests.csv,coarse,even,high,372.39000000000004,7
locustfile_even_high_0.5_80_40_120s_8_requests.csv,coarse,even,high,371.65,8
locustfile_even_high_0.5_80_40_120s_9_requests.csv,coarse,even,high,370.54,9
locustfile_even_high_0.5_80_40_120s_10_requests.csv,coarse,even,high,368.12,10
locustfile_even_med_6_80_40_120s_1_requests.csv,coarse,even,med,336.84000000000003,1
locustfile_even_med_6_80_40_120s_2_requests.csv,coarse,even,med,333.27,2
locustfile_even_med_6_80_40_120s_3_requests.csv,coarse,even,med,335.84000000000003,3
locustfile_even_med_6_80_40_120s_4_requests.csv,coarse,even,med,337.90000000000003,4
locustfile_even_med_6_80_40_120s_5_requests.csv,coarse,even,med,342.22,5
locustfile_even_med_6_80_40_120s_6_requests.csv,coarse,even,med,342.42,6
