id,granularity,distribution,frequency,energy consumption
1,coarse,burst,high,395.67999999999995
2,coarse,burst,high,390.7
3,coarse,burst,high,371.4200000000001
4,coarse,burst,high,363.28999999999996
5,coarse,burst,high,376.11
6,coarse,burst,high,362.73
7,coarse,burst,high,361.3299999999999
8,coarse,burst,high,354.2800000000001
9,coarse,burst,high,355.5899999999999
10,coarse,burst,high,352.43000000000006
1,coarse,burst,high,339.44999999999993
2,coarse,burst,high,337.43000000000006
3,coarse,burst,high,337.93999999999994
4,coarse,burst,high,336.9200000000001
5,coarse,burst,high,338.44
6,coarse,burst,high,336.96
7,coarse,burst,high,339.91999999999996
8,coarse,burst,high,333.80999999999995
9,coarse,burst,high,340.36999999999995
10,coarse,burst,high,341.26
1,coarse,burst,high,335.53999999999996
2,coarse,burst,high,339.90000000000003
3,coarse,burst,high,336.81
4,coarse,burst,high,335.86999999999995
5,coarse,burst,high,331.64
6,coarse,burst,high,333.63999999999993
7,coarse,burst,high,337.5
8,coarse,burst,high,333.2800000000001
9,coarse,burst,high,330.72999999999996
10,coarse,burst,high,331.32
1,coarse,burst,high,374.7800000000001
2,coarse,burst,high,392.8
3,coarse,burst,high,383.61999999999995
4,coarse,burst,high,377.61999999999995
5,coarse,burst,high,376.64
6,coarse,burst,high,373.48999999999995
7,coarse,burst,high,372.39000000000004
8,coarse,burst,high,371.65
9,coarse,burst,high,370.54
10,coarse,burst,high,368.12
1,coarse,burst,high,336.84000000000003
2,coarse,burst,high,333.27
3,coarse,burst,high,335.84000000000003
4,coarse,burst,high,337.90000000000003
5,coarse,burst,high,342.22
6,coarse,burst,high,342.42
7,coarse,burst,high,339.76000000000005
8,coarse,burst,high,337.59000000000003
9,coarse,burst,high,339.46000000000004
10,coarse,burst,high,341.9699999999999
1,coarse,burst,high,331.39
2,coarse,burst,high,330.2999999999999
3,coarse,burst,high,332.92
4,coarse,burst,high,336.23999999999995
5,coarse,burst,high,336.65000000000003
6,coarse,burst,high,335.51000000000005
7,coarse,burst,high,336.3
8,coarse,burst,high,340.30000000000007
9,coarse,burst,high,332.3
10,coarse,burst,high,331.08
1,med,burst,high,4208.3
2,med,burst,high,4072.800000000001
3,med,burst,high,4055.3
4,med,burst,high,3868.2
5,med,burst,high,3892.3999999999996
6,med,burst,high,3874.6
7,med,burst,high,3822.7999999999997
8,med,burst,high,3952.2999999999997
9,med,burst,high,3774.7000000000003
10,med,burst,high,3853.8999999999996
1,med,burst,high,3557.0
2,med,burst,high,3578.2
3,med,burst,high,3565.7999999999997
4,med,burst,high,3519.9999999999995
5,med,burst,high,3511.7000000000003
6,med,burst,high,3515.5
7,med,burst,high,3569.6000000000004
8,med,burst,high,3490.0
9,med,burst,high,3520.2999999999997
10,med,burst,high,3467.9999999999995
1,med,burst,high,3459.3
2,med,burst,high,3530.0
3,med,burst,high,3479.6000000000004
4,med,burst,high,3449.2000000000007
5,med,burst,high,3527.7999999999997
6,med,burst,high,3493.7
7,med,burst,high,3539.1000000000004
8,med,burst,high,3512.4
9,med,burst,high,3494.6000000000004
10,med,burst,high,3472.4999999999995
1,med,burst,high,4178.400000000001
2,med,burst,high,4045.7999999999993
3,med,burst,high,3871.8
4,med,burst,high,3924.6000000000004
5,med,burst,high,3821.399999999999
6,med,burst,high,3788.1
7,med,burst,high,3846.7999999999993
8,med,burst,high,3848.7999999999993
9,med,burst,high,3752.9999999999995
10,med,burst,high,3817.5
1,med,burst,high,3523.4999999999995
2,med,burst,high,3569.2000000000007
3,med,burst,high,3464.5
4,med,burst,high,3482.2999999999997
5,med,burst,high,3498.7
6,med,burst,high,3550.4999999999995
7,med,burst,high,3564.3
8,med,burst,high,3557.2999999999997
9,med,burst,high,3509.0999999999995
10,med,burst,high,3501.7
1,med,burst,high,3496.3
2,med,burst,high,3405.0
3,med,burst,high,3449.5
4,med,burst,high,3454.9999999999995
5,med,burst,high,3403.0999999999995
6,med,burst,high,3434.2
7,med,burst,high,3462.8999999999996
8,med,burst,high,3506.2
9,med,burst,high,3535.2000000000003
10,med,burst,high,3476.3999999999996
1,fine,burst,high,3640.2999999999997
2,fine,burst,high,4303.8
3,fine,burst,high,4282.4
4,fine,burst,high,4318.200000000001
5,fine,burst,high,4317.4
6,fine,burst,high,4287.2
7,fine,burst,high,4094.7000000000003
8,fine,burst,high,4091.8
9,fine,burst,high,3997.4999999999995
10,fine,burst,high,4184.6
1,fine,burst,high,3873.899999999999
2,fine,burst,high,3771.8
3,fine,burst,high,3703.6000000000004
4,fine,burst,high,3705.1999999999994
5,fine,burst,high,3747.3999999999996
6,fine,burst,high,3754.8999999999996
7,fine,burst,high,3709.7999999999997
8,fine,burst,high,3743.899999999999
9,fine,burst,high,3639.3999999999996
10,fine,burst,high,3656.0
1,fine,burst,high,3804.9000000000005
2,fine,burst,high,3728.8999999999996
3,fine,burst,high,3661.2000000000007
4,fine,burst,high,3684.0
5,fine,burst,high,3655.2999999999997
6,fine,burst,high,3717.9000000000005
7,fine,burst,high,3676.2
8,fine,burst,high,3692.9
9,fine,burst,high,3679.7999999999997
10,fine,burst,high,3683.8
1,fine,burst,high,3904.9
2,fine,burst,high,4064.0000000000005
3,fine,burst,high,4229.200000000001
4,fine,burst,high,4043.2999999999993
5,fine,burst,high,4027.9999999999995
6,fine,burst,high,4003.4999999999995
7,fine,burst,high,4080.999999999999
8,fine,burst,high,3990.6
9,fine,burst,high,4009.2000000000003
10,fine,burst,high,3965.4999999999995
1,fine,burst,high,3669.2000000000007
2,fine,burst,high,3704.8
3,fine,burst,high,3703.1000000000004
4,fine,burst,high,3750.2
5,fine,burst,high,3748.1
6,fine,burst,high,3705.7999999999997
7,fine,burst,high,3719.2
8,fine,burst,high,3616.5
9,fine,burst,high,3666.5
10,fine,burst,high,3741.600000000001
1,fine,burst,high,3649.7000000000003
2,fine,burst,high,3617.5
3,fine,burst,high,3695.6
4,fine,burst,high,3689.3999999999996
5,fine,burst,high,3656.2000000000007
6,fine,burst,high,3725.1000000000004
7,fine,burst,high,3729.6000000000004
8,fine,burst,high,3585.7
9,fine,burst,high,3567.2999999999993
10,fine,burst,high,3647.5
